#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_fwd_kernel
139,00007ef1 797e3ca0,"      LOP3.LUT R7, R28, R26, RZ, 0x3c, !PT",24,1,8192,,,,,,,,,
140,00007ef1 797e3cb0,"      IMAD.MOV.U32 R4, RZ, RZ, R6",24,0,8192,,,,,,,,,
141,00007ef1 797e3cc0,"      IMAD R6, R25, UR6, RZ",24,1,8192,,,,,,,,,
142,00007ef1 797e3cd0,"      ISETP.GE.AND P0, PT, R7, RZ, PT",24,0,8192,,,,,,,,,
143,00007ef1 797e3ce0,"      IMAD.MOV.U32 R14, RZ, RZ, R0",24,0,8192,,,,,,,,,
144,00007ef1 797e3cf0,"      IADD3 R2, P2, R2, UR4, RZ",23,6,8192,,,,,,,,,
145,00007ef1 797e3d00,"      IMAD R8, R27, UR7, R6",24,0,8192,,,,,,,,,
146,00007ef1 797e3d10,"      IMAD.WIDE.U32 R4, R27, UR6, R4",23,1,8192,,,,,,,,,
147,00007ef1 797e3d20,"      IADD3.X R3, R3, UR15, RZ, P2, !PT",23,2,8192,,,,,,,,,
148,00007ef1 797e3d30,"      ULDC.64 UR6, c[0x0][0x260]",23,1,8192,,,,,,,,,
149,00007ef1 797e3d40,"      IADD3 R6, P2, R2, UR4, RZ",24,0,8192,,,,,,,,,
150,00007ef1 797e3d50,"      VIADD R0, R235, 0x7f",25,0,8192,,,,,,,,,
151,00007ef1 797e3d60,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R2.64], [R242+0x2800]",25,7,8192,"Global, Shared","Load, Store",128,0,0,,,,
152,00007ef1 797e3d70,"@!P0  IMAD.MOV R14, RZ, RZ, -R14",24,1,8192,,,,,,,,,
153,00007ef1 797e3d80,"@!P1  LOP3.LUT R14, RZ, R26, RZ, 0x33, !PT",24,0,8192,,,,,,,,,
154,00007ef1 797e3d90,"      IADD3.X R7, R3, UR15, RZ, P2, !PT",24,2,8192,,,,,,,,,
155,00007ef1 797e3da0,"      SHF.R.S32.HI R9, RZ, 0x1f, R14",24,3,8192,,,,,,,,,
156,00007ef1 797e3db0,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R6.64], [R242+0x3000]",24,4,8192,"Global, Shared","Load, Store",128,0,0,,,,
157,00007ef1 797e3dc0,"      IMAD.IADD R3, R5, 0x1, R8",25,12,8192,,,,,,,,,
158,00007ef1 797e3dd0,"      SHF.R.S32.HI R5, RZ, 0x1f, R0",24,1,8192,,,,,,,,,
159,00007ef1 797e3de0,"      IMAD.MOV.U32 R2, RZ, RZ, R4",25,0,8192,,,,,,,,,
160,00007ef1 797e3df0,"      IMAD R4, R9, UR6, RZ",25,4,8192,,,,,,,,,
161,00007ef1 797e3e00,"      LEA.HI R243, R5, R0, RZ, 0x7",26,1,8192,,,,,,,,,
162,00007ef1 797e3e10,"      IMAD R0, R15, UR10, RZ",25,0,8192,,,,,,,,,
163,00007ef1 797e3e20,"      IMAD.WIDE.U32 R32, R14, UR6, R2",26,3,8192,,,,,,,,,
164,00007ef1 797e3e30,"      LEA.HI.SX32 R15, R243, 0xffffffff, 0x19",25,1,8192,,,,,,,,,
165,00007ef1 797e3e40,"      IADD3 R6, P1, R6, UR4, RZ",25,14,8192,,,,,,,,,
166,00007ef1 797e3e50,"      IMAD R4, R14, UR7, R4",25,2,8192,,,,,,,,,
167,00007ef1 797e3e60,"      ULDC.64 UR6, c[0x0][0x218]",25,3,8192,,,,,,,,,
168,00007ef1 797e3e70,"      IMAD.WIDE.U32 R2, R13, UR10, R16",27,0,8192,,,,,,,,,
169,00007ef1 797e3e80,"      SHF.R.S32.HI R16, RZ, 0x1f, R15",26,2,8192,,,,,,,,,
170,00007ef1 797e3e90,"      STL.64 [R1+0x50], R32",26,0,8192,Local,Store,64,,,,,,
171,00007ef1 797e3ea0,"      IADD3.X R7, R7, UR15, RZ, P1, !PT",26,3,8192,,,,,,,,,
172,00007ef1 797e3eb0,"      IMAD R0, R13, UR11, R0",26,0,8192,,,,,,,,,
173,00007ef1 797e3ec0,"      USHF.L.U64.HI UR15, UR12, 0x5, UR13",25,3,8192,,,,,,,,,
174,00007ef1 797e3ed0,"      IMAD R5, R15, UR19, RZ",26,1,8192,,,,,,,,,
175,00007ef1 797e3ee0,"      UIADD3 UR4, UR5, 0x4000, URZ",26,2,8192,,,,,,,,,
176,00007ef1 797e3ef0,"      IMAD.IADD R31, R33, 0x1, R4",27,2,8192,,,,,,,,,
177,00007ef1 797e3f00,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R6.64], [R242+0x3800]",25,2,8192,"Global, Shared","Load, Store",128,0,0,,,,
178,00007ef1 797e3f10,"      IMAD.MOV.U32 R30, RZ, RZ, R32",24,1,8192,,,,,,,,,
179,00007ef1 797e3f20,"      IMAD.IADD R3, R3, 0x1, R0",23,5,8192,,,,,,,,,
180,00007ef1 797e3f30,"      IMAD R0, R16, UR20, R5",23,3,8192,,,,,,,,,
181,00007ef1 797e3f40,"      STL.64 [R1+0x40], R30",22,0,8192,Local,Store,64,,,,,,
182,00007ef1 797e3f50,"      IMAD.WIDE.U32 R4, R15, UR20, R30",24,2,8192,,,,,,,,,
183,00007ef1 797e3f60,"      IMAD.IADD R0, R5, 0x1, R0",22,4,8192,,,,,,,,,
184,00007ef1 797e3f70,"      LEA R12, P0, R4, UR6, 0x1",22,5,8192,,,,,,,,,
185,00007ef1 797e3f80,"      IMAD R8, R25, UR8, RZ",23,0,8192,,,,,,,,,
186,00007ef1 797e3f90,"      IMAD.WIDE.U32 R10, R27, UR8, R2",24,1,8192,,,,,,,,,
187,00007ef1 797e3fa0,"      LEA.HI.X R13, R4, UR7, R0, 0x1, P0",23,2,8192,,,,,,,,,
188,00007ef1 797e3fb0,"      IADD3 R2, P0, R12, UR14, RZ",22,4,8192,,,,,,,,,
189,00007ef1 797e3fc0,"      IMAD R8, R27, UR9, R8",22,1,8192,,,,,,,,,
190,00007ef1 797e3fd0,"      ULDC.64 UR8, c[0x0][0x268]",21,4,8192,,,,,,,,,
191,00007ef1 797e3fe0,"      IMAD.MOV.U32 R4, RZ, RZ, R10",22,2,8192,,,,,,,,,
192,00007ef1 797e3ff0,"      IADD3.X R3, R13, UR15, RZ, P0, !PT",22,0,8192,,,,,,,,,
193,00007ef1 797e4000,"      IMAD.IADD R5, R11, 0x1, R8",23,0,8192,,,,,,,,,
194,00007ef1 797e4010,"      IADD3 R8, P0, R2, UR14, RZ",22,0,8192,,,,,,,,,
195,00007ef1 797e4020,"      IMAD R0, R9, UR8, RZ",23,0,8192,,,,,,,,,
196,00007ef1 797e4030,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R12.64], [R242+0x4000]",22,0,8192,"Global, Shared","Load, Store",128,0,0,,,,
197,00007ef1 797e4040,"      IMAD.WIDE.U32 R18, R14, UR8, R4",22,1,8192,,,,,,,,,
198,00007ef1 797e4050,"      IADD3.X R9, R3, UR15, RZ, P0, !PT",21,0,8192,,,,,,,,,
199,00007ef1 797e4060,"      IADD3 R10, P0, R8, UR14, RZ",22,6,8192,,,,,,,,,
200,00007ef1 797e4070,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R2.64], [R242+0x4800]",22,2,8192,"Global, Shared","Load, Store",128,0,0,,,,
201,00007ef1 797e4080,"      IMAD R14, R14, UR9, R0",20,4,8192,,,,,,,,,
202,00007ef1 797e4090,"      ULDC.64 UR8, c[0x0][0x220]",19,3,8192,,,,,,,,,
203,00007ef1 797e40a0,"      IADD3.X R11, R9, UR15, RZ, P0, !PT",20,0,8192,,,,,,,,,
204,00007ef1 797e40b0,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R8.64], [R242+0x5000]",20,0,8192,"Global, Shared","Load, Store",128,0,0,,,,
205,00007ef1 797e40c0,"      IADD3 R6, P0, R10, UR14, RZ",19,1,8192,,,,,,,,,
206,00007ef1 797e40d0,"      IMAD R0, R16, UR10, RZ",20,2,8192,,,,,,,,,
